Name,Address,Category,Phone Number,Website,Size of Business,Product/Service,Clientel,Point of Contact,Email,Host?,Advertiser?,What advertisements to host?,What hosts to advertise at?,Description,Availability of space
Carleton Farm Seed Ltd,6189 Fourth Line Rd RR 3,Farm Equipment & Supplies,,"=HYPERLINK("""")"
GPS Ontario,6558 3rd Line Rd S,Farm Equipment & Supplies,,"=HYPERLINK("""")"
Tru Country & Garden,5736 County Road 29,Farm Equipment & Supplies,,"=HYPERLINK(""b'https://www.truserv.ca/'"")"
Almonte Country Depot,5736 County Road 29,Farm Equipment & Supplies,,"=HYPERLINK("""")"
The Old Co Op,2307 Roger Stevens Dr,Farm Equipment & Supplies,,"=HYPERLINK(""b'http://oldco-op.ca/'"")"
Agro-Culture 2001 Inc,2311 County Rd 8,Farm Equipment & Supplies,,"=HYPERLINK("""")"
Rooney Feeds Ltd,9 Industrial Rd,Farm Equipment & Supplies,,"=HYPERLINK(""b'http://www.rooneyfeeds.com/'"")"
5 Span Feed & Seed Inc,2488 County Rd 29,Farm Equipment & Supplies,,"=HYPERLINK(""b'http://5span.ca/'"")"
Harvex Agromart Inc,,Farm Equipment & Supplies,,"=HYPERLINK(""b'http://www.harvex.com/'"")"
TRU Hardware,33 King St,Farm Equipment & Supplies,,"=HYPERLINK(""b'https://www.truserv.ca/'"")"
Harvex Agromart,2109 County Road 20,Farm Equipment & Supplies,,"=HYPERLINK(""b'http://www.harvex.com/'"")"
Bray Hill Farm,8473 Victoria St,Farms & Ranches,,"=HYPERLINK("""")"
Sole Produce,1913 Kingsdale Ave,Farms & Ranches,,"=HYPERLINK("""")"
Robert Stewart,755 Burton Rd,Farms & Ranches,,"=HYPERLINK("""")"
Log Cabin Orchard,6121 Cabin Rd,Farms & Ranches,,"=HYPERLINK("""")"
Carleton Corner Farms Ltd,9500 Carleton Corner Ln,Farms & Ranches,,"=HYPERLINK("""")"
Microgreens,,Farms & Ranches,,"=HYPERLINK("""")"
Saunders Farm,7893 Bleeks Rd,Farms & Ranches,,"=HYPERLINK(""b'http://saundersfarm.com/'"")"
Herbivor Farm,2389 Pepin Crt,Farms & Ranches,,"=HYPERLINK(""b'http://www.facebook.com/489208937807015'"")"
Sunnymead Farms,4949 Navan Rd,Farms & Ranches,,"=HYPERLINK(""b'http://www.facebook.com/199453463462084'"")"
Our Farm,3772 Torbolton Ridge Rd,Farms & Ranches,,"=HYPERLINK(""b'http://www.facebook.com/130612423664852'"")"
Majella Larochelle,"36, rue Renaud",Farms & Ranches,,"=HYPERLINK(""b'http://www.facebook.com/9176'"")"
Bustrac,1-183 rue du Conservatoire,Farms & Ranches,,"=HYPERLINK(""b'http://www.facebook.com/6810'"")"
Les Fermes Porc d'Ange Inc,28 de la Côte-Saint-Louis,Farms & Ranches,,"=HYPERLINK("""")"
Potager Eardley,"398, ch Eardley",Farms & Ranches,,"=HYPERLINK(""b'http://www.facebook.com/4035'"")"
Ferme Palerme SENC,"153, ch Kelly",Farms & Ranches,,"=HYPERLINK("""")"
Canaan Blueberries,2351 Canaan Rd,Farms & Ranches,,"=HYPERLINK("""")"
Lalonde Berry Farm,1115 Baseline Rd,Farms & Ranches,,"=HYPERLINK(""b'http://www.facebook.com/213476415345790'"")"
Clearview Farms,1326 Lacasse Rd,Farms & Ranches,,"=HYPERLINK("""")"
Aldago Ranch,1698 Calypso St,Farms & Ranches,,"=HYPERLINK("""")"
Ferme Pomain,1813 Calypso St,Farms & Ranches,,"=HYPERLINK("""")"
Dutch Valley Farms Inc,1375 Townty Rd 7,Farms & Ranches,,"=HYPERLINK("""")"
Farmer's Sealed Storage,3 Industrial Rd RR 3,Farms & Ranches,,"=HYPERLINK(""b'http://www.fssequipment.com/'"")"
Lotusland Farm,12454 Ormond Rd,Farms & Ranches,,"=HYPERLINK("""")"
Honey Due Farm,7940 Belmeade Rd,Farms & Ranches,,"=HYPERLINK("""")"
Against the Grain,2147 Jennings Rd,Farms & Ranches,,"=HYPERLINK("""")"
Maclachlan Meadows,904 Kennedy Rd,Farms & Ranches,,"=HYPERLINK("""")"
La Ferme Ben Rey MO Ltd,117 Principale,Farms & Ranches,,"=HYPERLINK("""")"
St Isidore Storage Ltd,2890 Concession Road 20,Farms & Ranches,,"=HYPERLINK(""b'http://stisidorestorage.com/'"")"
Farm Rene Franche Et Fils Inc,1751 County Road 16,Farms & Ranches,,"=HYPERLINK("""")"
Shima's Farm,13033 County Rd 13,Farms & Ranches,,"=HYPERLINK("""")"
Rock-N-Horse Farm,1267 Rae Rd,Farms & Ranches,,"=HYPERLINK("""")"
Arianna Honey,85 Division St N,Farms & Ranches,,"=HYPERLINK("""")"
Le Tournesol,1155 Stevens,Farms & Ranches,,"=HYPERLINK(""b'http://www.fermedagenais.com/'"")"
Fortune Farms,2442 Wolf Grove Rd,Farms & Ranches,,"=HYPERLINK("""")"
Alpaca Tracks T(h)read Lightly,820 County Road 18,Farms & Ranches,,"=HYPERLINK(""b'http://www.alpaca-tracks.com/'"")"
Hydroculture Emporium Inc,1315 Richmond Rd,Hydroponic Systems & Equipment,,"=HYPERLINK(""b'http://www.hydrocultureemporium.ca/'"")"
B & B Hydroponic Gardens,4-3326 Limebank Rd,Hydroponic Systems & Equipment,,"=HYPERLINK(""b'http://www.growingedgetechnologies.ca/'"")"
Brite-Lite Indoor Garden Centre,104-1675 Cyrville Rd,Hydroponic Systems & Equipment,,"=HYPERLINK(""b'http://www.hydroponix.com/'"")"
B & B Hydroponic Gardens,4-3326 Limebank Rd,Hydroponic Systems & Equipment,,"=HYPERLINK("""")"
Brite Lite Maintenance,105-1675 Cyrville Rd,Hydroponic Systems & Equipment,,"=HYPERLINK("""")"
Brite Lite Maintenance,1675 Cyrville Rd,Hydroponic Systems & Equipment,,"=HYPERLINK("""")"
Sweet Hydroponic Gardens,776 Bruce St,Hydroponic Systems & Equipment,,"=HYPERLINK(""b'http://sweethydroponic.com/'"")"
Hydromax,,Hydroponic Systems & Equipment,,"=HYPERLINK("""")"
Orleans Fruit Farm,1399 St. Joseph Blvd,Fruit & Vegetable Growers & Distributors,,"=HYPERLINK(""b'http://www.facebook.com/pages/Orleans-Fruit-Farm/133225800060050'"")"
Pinewood Orchards,101 Herzberg Rd,Fruit & Vegetable Growers & Distributors,,"=HYPERLINK("""")"
SunTech Greenhouses Ltd,5541 Doyle Rd,Fruit & Vegetable Growers & Distributors,,"=HYPERLINK(""b'http://www.suntech.ca/'"")"
Harvest Moon Orchard,4625 Carp Rd,Fruit & Vegetable Growers & Distributors,,"=HYPERLINK("""")"
Grain Growers Of Canada,75 Rue Albert,Fruit & Vegetable Growers & Distributors,,"=HYPERLINK("""")"
Acorn Creek Garden Farm Strawberries & Vegetables,928 Oak Creek Rd,Fruit & Vegetable Growers & Distributors,,"=HYPERLINK(""b'http://www.acorncreek.com/'"")"
